Date,Open,High,Low,Close,Adj Close,Volume
1/3/2000,3.745536,4.017857,3.631696,3.997768,3.543045,133949200
1/4/2000,3.866071,3.950893,3.613839,3.660714,3.244329,128094400
1/5/2000,3.705357,3.948661,3.678571,3.714286,3.291807,194580400
1/6/2000,3.790179,3.821429,3.392857,3.392857,3.006939,191993200
1/7/2000,3.446429,3.607143,3.410714,3.553571,3.149374,115183600
1/10/2000,3.642857,3.651786,3.383929,3.491071,3.093982,126266000
1/11/2000,3.426339,3.549107,3.232143,3.3125,2.935723,110387200
1/12/2000,3.392857,3.410714,3.089286,3.113839,2.759658,244017200
1/13/2000,3.374439,3.526786,3.303571,3.455357,3.06233,258171200
1/14/2000,3.571429,3.651786,3.549107,3.587054,3.179047,97594000
1/18/2000,3.607143,3.785714,3.587054,3.712054,3.289829,114794400
1/19/2000,3.772321,3.883929,3.691964,3.805804,3.372915,149410800
1/20/2000,4.125,4.339286,4.053571,4.053571,3.592501,457783200
1/21/2000,4.080357,4.080357,3.935268,3.975446,3.523263,123981200
1/24/2000,3.872768,4.026786,3.754464,3.794643,3.363024,110219200
1/25/2000,3.75,4.040179,3.65625,4.008929,3.552936,124286400
1/26/2000,3.928571,4.078125,3.919643,3.935268,3.487653,91789600
1/27/2000,3.886161,4.035714,3.821429,3.928571,3.481719,85036000
1/28/2000,3.863839,3.959821,3.59375,3.629464,3.216634,105837200
1/31/2000,3.607143,3.709821,3.375,3.705357,3.283894,175420000
2/1/2000,3.714286,3.75,3.571429,3.580357,3.173112,79508800
2/2/2000,3.598214,3.647321,3.464286,3.529018,3.127613,116048800
2/3/2000,3.582589,3.723214,3.580357,3.689732,3.270047,118798400
2/4/2000,3.712054,3.928571,3.700893,3.857143,3.418415,106330000
2/7/2000,3.857143,4.080357,3.783482,4.073661,3.610305,110266800
2/8/2000,4.071429,4.147321,3.973214,4.102679,3.636023,102160800
2/9/2000,4.075893,4.183036,4.015625,4.022321,3.564805,74841200
2/10/2000,4.03125,4.066964,3.928571,4.053571,3.592501,75745600
2/11/2000,4.058036,4.075893,3.866071,3.883929,3.442154,53062800
2/14/2000,3.904018,4.138393,3.879464,4.136161,3.665696,91884800
2/15/2000,4.116071,4.283482,4.113839,4.25,3.766587,121436000
2/16/2000,4.205357,4.21875,4.004464,4.075893,3.612284,94561600
2/17/2000,4.113839,4.125,4.040179,4.102679,3.636023,72374400
2/18/2000,4.09375,4.120536,3.959821,3.973214,3.521284,58360400
2/22/2000,3.933036,4.176339,3.810268,4.064732,3.602392,105574000
2/23/2000,4.044082,4.25,3.964286,4.151786,3.679543,118274800
2/24/2000,4.189732,4.254464,3.991071,4.114397,3.646408,94108000
2/25/2000,4.100446,4.178571,3.933036,3.941964,3.493589,62286000
2/28/2000,3.933036,4.107143,3.870536,4.044643,3.584588,82082000
2/29/2000,4.055804,4.1875,4.020089,4.09375,3.628109,92240400
3/1/2000,4.234375,4.716518,4.232143,4.654018,4.12465,269250800
3/2/2000,4.535714,4.569196,4.310268,4.357143,3.861543,77814800
3/3/2000,4.459821,4.579796,4.285714,4.571429,4.051455,80841600
3/6/2000,4.5,4.611607,4.464286,4.488839,3.978259,52640000
3/7/2000,4.515625,4.551339,4.325893,4.388393,3.889239,68252800
3/8/2000,4.388393,4.426339,4.234375,4.357143,3.861543,67807600
3/9/2000,4.316964,4.464286,4.223214,4.366071,3.869456,69179600
3/10/2000,4.345982,4.569196,4.321429,4.491071,3.980238,62151600
3/13/2000,4.361607,4.517857,4.267857,4.332589,3.839782,75989200
3/14/2000,4.329239,4.4375,4.071429,4.080357,3.61624,107144800
3/15/2000,4.129464,4.294643,4.075893,4.151786,3.679543,110902400
3/16/2000,4.189732,4.357143,4.089286,4.341518,3.847695,94525200
3/17/2000,4.290179,4.464286,4.272321,4.464286,3.956499,76260800
3/20/2000,4.410714,4.508929,4.370536,4.392857,3.893195,51122400
3/21/2000,4.377232,4.883929,4.34375,4.819196,4.271041,131082000
3/22/2000,4.742186,5.15625,4.698661,5.149554,4.563822,141999200
3/23/2000,5.071429,5.370536,5,5.046875,4.472823,140641200
3/24/2000,5.087054,5.140625,4.839286,4.953125,4.389735,111728400
3/27/2000,4.915179,5.169643,4.888393,4.984375,4.417432,69795600
3/28/2000,4.901786,5.071429,4.897321,4.96875,4.403584,50741600
3/29/2000,4.977679,4.979911,4.779575,4.854911,4.302693,59959200
3/30/2000,4.770089,4.917411,4.479911,4.491071,3.980238,103600000
3/31/2000,4.551339,4.901786,4.5,4.850446,4.298736,101158400
4/3/2000,4.839286,4.982143,4.622768,4.761161,4.219607,82140800
4/4/2000,4.736607,4.75,4.169643,4.546875,4.029694,165082400
4/5/2000,4.516739,4.745536,4.428571,4.65625,4.126629,114416400
4/6/2000,4.665179,4.803571,4.401786,4.470982,3.962434,64906800
4/7/2000,4.544643,4.709821,4.482143,4.705357,4.170149,60608800
4/10/2000,4.703125,4.741071,4.455357,4.464286,3.956499,53065600
4/11/2000,4.410714,4.459821,4.216518,4.265625,3.780434,135455600
4/12/2000,4.25,4.25,3.745536,3.901786,3.45798,235284000
4/13/2000,3.982143,4.285714,3.875,4.064732,3.602392,132456800
4/14/2000,3.904018,4.214286,3.892857,3.995536,3.541067,166905200
4/17/2000,3.910714,4.426339,3.895089,4.424107,3.920891,102390400
4/18/2000,4.410714,4.53125,4.263393,4.53125,4.015846,97731200
4/19/2000,4.506696,4.651786,4.276786,4.325893,3.833848,130037600
4/20/2000,4.417411,4.455357,4.180804,4.245536,3.76263,180530000
4/24/2000,4.107143,4.303571,4.098214,4.303571,3.814065,110905200
4/25/2000,4.361607,4.598214,4.359375,4.582589,4.061347,97910400
4/26/2000,4.522321,4.571429,4.285714,4.332589,3.839782,91728000
4/27/2000,4.185268,4.535714,4.163504,4.526786,4.011891,81650800
4/28/2000,4.540179,4.553571,4.332589,4.430804,3.926826,62395200
5/1/2000,4.459821,4.46875,4.352679,4.439732,3.934738,56548800
5/2/2000,4.401786,4.508929,4.196429,4.209821,3.730978,59108000
5/3/2000,4.247768,4.330357,3.986607,4.109375,3.641958,122449600
5/4/2000,4.111607,4.116071,3.948661,3.953125,3.50348,99878800
5/5/2000,3.957589,4.098214,3.954239,4.040179,3.580631,71019200
5/8/2000,4.003346,4.060268,3.928571,3.933036,3.485676,46225200
5/9/2000,3.939732,3.973214,3.745536,3.765625,3.337307,81785200
5/10/2000,3.716518,3.75,3.526786,3.546875,3.143439,133772800
5/11/2000,3.620536,3.723214,3.535714,3.671875,3.25422,124936000
5/12/2000,3.785714,3.946429,3.741629,3.84375,3.406545,76728400
5/15/2000,3.859375,3.859375,3.575893,3.607143,3.196851,169733200
5/16/2000,3.7327,3.895089,3.669643,3.774554,3.345219,110112800
5/17/2000,3.700893,3.703125,3.584821,3.620536,3.208721,99523200
5/18/2000,3.678571,3.747768,3.59375,3.598214,3.188938,93444400
5/19/2000,3.544643,3.544643,3.334821,3.357143,2.975287,185166800
5/22/2000,3.348214,3.348214,3.071429,3.212054,2.846701,188876800
5/23/2000,3.232143,3.334821,3.058036,3.064732,2.716136,129396400
5/24/2000,3.078125,3.205357,2.964286,3.131696,2.775484,169615600
5/25/2000,3.160714,3.30915,3.071429,3.116629,2.76213,101687600
5/26/2000,3.142857,3.209821,3.044643,3.084821,2.733941,45287200
5/30/2000,3.129464,3.147321,2.919643,3.127232,2.771528,178264800
